ID;description
3000125;SERVICIO DESINSECTACION
3000126;SERVICIO DE INSPECCION
3000127;HORA DE TORNO MEDIANO
3000128;SERVICIO EQUIPO DE VAPOR - 12HS
3000129;KILOMETRAJE UNIDAD WIRE LINE
3000130;RETROEXCAVADORA CHICA SIN MO
3000131;OBRA MECANICA
3000132;CONEXIONES INTERMEDIAS DEL CAPILAR
3000133;PROVI QUIMICOS
3000134;CAMION BOMBA DE VACIO
3000135;PROVISION DE TRABADS DE PROYECTO EN AEL
3000136;SIMA - CAMION CON BATEA 25 M3
3000137;RETROEXCAVADORA CHICA
3000138;VACIADO Y LIMPIEZA DE PILETAS
3000139;DTM DE 25 KM A 50 KM
3000140;TRANSPORTE DE MATERIALES (tnxKm)
3000141;SERVICIO DE ALQUILER DE AMBULANCIA
3000142;PALA CARGADORA GRANDE EVENTUAL
3000143;CONSTRUCCION DE FOSA
3000144;LIMPIEZA FIJO
3000145;CAPEX- TRAILER ENFERMERÍA
3000146;SERVICIO DE CHOFER DE AMBULANCIA
3000147;MO CONSTRUCCION DE ANCLAJES S/MATERIALES
3000148;SERVICIO DE TELEMETRIA
3000149;DÍA OPERATIVO
3000150;BASICO PUNZADO 3 3/8' - 4' 3000 PSI
3000151;PROVISION ESLINGA CERTIFICADA
3000152;SERVICIO EN RENCINTO DE RESIDUOS CB
3000153;HORA ADICIONAL
3000154;PROVISION DE ZUNCHO Y TACO DE GOMA
3000155;TARIFA REPARACION/MANTENIMIENTO
3000156;TELAS DE ZARANDA MESH 325
3000157;SERVICIO DE TRANSPORTE BES (TABLA 6)
3000158;OBRA PIPING
3000159;ASESORAMIENTO TECNICO - NALCO
3000160;SIMA - SUPERVISORES DE OBRA
3000161;SERVICIO DE ALQUILER TRAILER ENFERMERIA
3000162;PROVISION ACERO SAE 4140 BONIFICADO
3000163;M3 DE HORMIGÓN CLASE 'B' CON MALLA SIMA
3000164;INSUMOS MAQUINAS DE CAFE
3000165;SIMA - CAMIONETA DC 4X2 RELEVOS
